,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
246,1,1,256,20001116,Grant 19' Jump Shot (10 PTS) (Mason 2 AST),,5:09,3,4,4,0,258,Brian Grant,MIA,Miami,1610612748,Heat,193,Anthony Mason,MIA,Miami,1610612748,Heat,0,,,,,,46 - 53,7,,1:40 PM
247,1,6,257,20001116,Grant P.FOUL (P3.T4),,4:52,3,4,0,1,258,Brian Grant,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:40 PM
248,1,6,258,20001116,Bowen P.FOUL (P3.PN),,4:45,3,4,0,1,1477,Bruce Bowen,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:41 PM
249,11,3,259,20001116,,,4:45,3,5,0,0,947,Allen Iverson,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,MISS Iverson Free Throw 1 of 2,1:41 PM
250,1,4,260,20001116,,,4:45,3,3,0,0,1610612755,,,,,,0,,,,,,0,,,,,,,,76ers Rebound,1:41 PM
251,12,3,261,20001116,,,4:45,3,5,0,0,947,Allen Iverson,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,47 - 53,6,Iverson Free Throw 2 of 2 (20 PTS),1:41 PM
252,2,5,262,20001116,Mason Lost Ball Turnover (P2.T8),,4:27,3,4,5,0,193,Anthony Mason,MIA,Miami,1610612748,Heat,727,Eric Snow,PHI,Philadelphia,1610612755,76ers,0,,,,,,,,Snow STEAL (2 STL),1:42 PM
253,1,2,263,20001116,,,4:12,3,5,0,0,1934,Rodney Buford,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,MISS Buford 25' 3PT Jump Shot,1:42 PM
254,0,4,264,20001116,,,4:10,3,5,0,0,87,Dikembe Mutombo,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,Mutombo REBOUND (Off:2 Def:4),1:42 PM
255,1,2,265,20001116,,,4:04,3,5,0,0,1934,Rodney Buford,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,MISS Buford 15' Jump Shot,1:42 PM
256,0,4,266,20001116,Majerle REBOUND (Off:0 Def:4),,4:01,3,4,0,0,105,Dan Majerle,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:42 PM
257,1,6,267,20001116,,,3:57,3,5,0,1,727,Eric Snow,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,Snow P.FOUL (P2.T4),1:43 PM
258,0,8,268,20001116,,,3:57,3,5,5,0,238,Tyrone Hill,PHI,Philadelphia,1610612755,76ers,248,George Lynch,PHI,Philadelphia,1610612755,76ers,0,,,,,,,,SUB: Lynch FOR Hill,1:43 PM
259,0,8,269,20001116,SUB: Mourning FOR Grant,,3:57,3,4,4,0,258,Brian Grant,MIA,Miami,1610612748,Heat,297,Alonzo Mourning,MIA,Miami,1610612748,Heat,0,,,,,,,,,1:43 PM
260,3,2,270,20001116,MISS Mason 6' Hook Shot,,3:43,3,4,0,0,193,Anthony Mason,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:43 PM
261,0,4,271,20001116,,,3:42,3,5,0,0,87,Dikembe Mutombo,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,Mutombo REBOUND (Off:2 Def:5),1:43 PM
262,3,6,272,20001116,Mourning L.B.FOUL (P2.PN),,3:42,3,4,0,1,297,Alonzo Mourning,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:43 PM
263,11,3,273,20001116,,,3:42,3,5,0,0,87,Dikembe Mutombo,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,48 - 53,5,Mutombo Free Throw 1 of 2 (3 PTS),1:44 PM
